Umur,Pemasukan,Keluarga,Edukasi,Hipotek,Pinjaman Pribadi,Rekening Efek,Sertifikat Deposito,Online,Kartu Kredit
54,111,1,3,0,0,0,0,0,1
36,65,4,2,0,0,0,0,0,0
50,130,1,2,0,1,0,0,1,0
37,34,3,2,0,0,0,0,0,0
29,72,3,2,81,0,0,0,0,0
36,150,4,1,0,1,1,1,1,0
39,79,4,1,0,0,0,0,0,0
62,42,1,3,0,0,0,0,0,0
63,124,3,2,170,1,0,0,0,0
43,35,3,1,0,0,0,0,1,0
63,84,4,2,0,0,0,0,1,0
44,154,2,1,0,0,0,0,1,0
51,78,1,1,305,0,0,0,1,0
54,74,3,2,0,0,0,0,0,0
57,182,2,3,372,1,0,0,0,0
32,120,4,1,301,1,0,1,1,1
58,43,3,1,0,0,0,0,0,1
43,84,4,3,289,0,1,1,1,1
50,161,3,1,212,1,0,0,1,0
30,172,3,2,0,1,0,0,0,1
65,195,3,1,0,1,1,1,0,1
53,184,1,1,303,0,0,0,1,0
51,88,1,2,0,0,1,0,0,1
55,32,4,3,0,0,1,0,0,0
65,95,3,2,138,1,0,0,0,1
55,22,1,2,91,0,0,0,0,1
28,43,3,2,0,0,0,0,1,0
61,193,1,3,203,1,0,0,1,0
38,129,4,1,140,1,0,0,0,0
57,33,1,2,0,0,0,0,1,0
59,83,2,3,0,1,0,0,1,0
37,169,2,3,249,1,0,0,1,0
46,144,2,1,0,0,0,0,1,1
62,135,2,2,0,1,0,0,1,0
41,58,3,3,0,0,0,0,1,0
43,174,3,3,231,1,0,1,1,1
40,50,2,1,174,0,0,0,0,0
63,54,3,1,0,0,0,0,1,0
63,83,2,1,0,1,0,0,0,0
36,142,3,2,0,1,0,1,1,1
63,32,1,2,100,0,0,0,0,0
41,185,1,2,0,1,0,0,0,0
25,62,4,1,229,0,0,0,1,0
44,99,3,3,357,1,0,0,0,0
50,152,1,1,0,0,0,0,1,0
50,192,2,3,301,1,0,1,1,1
27,118,1,2,0,1,0,0,1,0
58,122,4,2,0,1,0,1,1,0
29,110,4,3,0,1,0,0,0,0
56,145,4,2,0,1,0,1,1,1
41,175,2,3,0,1,0,0,1,0
36,78,4,3,163,0,0,0,0,0
55,73,4,2,0,0,0,0,0,0
62,90,3,1,0,0,0,0,1,0
53,145,2,3,294,1,0,1,1,1
58,51,1,2,0,0,0,0,1,0
47,83,1,1,97,1,0,0,0,0
41,138,3,2,0,1,0,0,1,0
30,125,4,3,0,1,0,1,1,0
44,75,2,1,0,1,0,0,1,0
29,175,3,3,329,1,0,0,1,0
51,39,2,1,182,0,0,0,0,1
60,191,4,3,0,1,0,0,0,0
50,188,3,1,184,1,0,0,0,1
35,182,1,2,229,1,0,1,1,1
55,61,4,2,0,0,0,0,1,1
54,183,1,1,442,0,0,0,0,0
28,70,3,3,0,0,0,0,0,1
32,104,2,1,0,1,0,0,0,1
30,171,2,2,0,1,0,0,0,0
30,73,3,1,0,1,0,1,1,1
57,9,1,2,91,0,1,0,1,0
51,134,4,3,0,1,1,1,1,0
32,143,3,3,0,1,0,0,1,0
44,75,4,1,0,0,0,0,0,0
33,120,1,3,0,1,0,0,1,0
50,23,4,1,0,0,0,0,0,1
36,181,3,1,0,1,0,0,0,0
41,94,3,2,327,1,1,1,1,0
30,112,4,2,0,1,0,0,0,1
49,45,3,2,0,0,1,0,1,0
29,103,4,1,0,1,0,0,1,0
28,71,1,2,149,1,1,1,1,0
33,14,1,2,98,0,0,0,1,0
32,123,2,2,0,1,0,0,1,0
40,42,2,1,101,0,0,0,1,0
26,190,4,2,197,1,0,0,1,0
63,165,4,3,0,1,0,0,0,0
30,118,2,2,0,1,0,0,0,0
53,22,2,1,0,0,0,0,1,0
38,169,1,3,0,1,0,1,1,1
64,39,1,3,0,0,1,1,1,1
33,130,3,2,99,1,0,0,0,1
46,41,1,3,128,0,0,0,1,0
42,93,4,3,0,0,0,0,0,0
34,31,1,1,104,0,0,0,1,1
60,130,3,3,437,1,0,1,1,1
48,84,2,3,145,0,0,0,0,0
38,113,4,2,0,1,0,0,0,1
63,129,1,1,366,0,0,0,1,0
56,164,4,2,234,1,0,1,1,1
32,28,2,2,88,0,0,0,1,0
34,31,4,3,0,0,0,0,1,1
52,78,4,3,141,0,0,0,1,0
32,35,2,1,0,0,0,0,0,1
31,192,1,2,0,1,0,0,1,0
60,145,4,1,380,1,0,0,0,1
47,35,2,1,0,0,0,0,1,0
26,179,4,2,0,1,0,0,0,0
52,180,2,2,297,1,0,0,1,0
35,82,4,1,0,0,0,0,0,0
26,171,3,2,0,1,0,0,1,0
55,53,1,1,0,0,0,0,0,0
50,83,1,2,0,0,0,0,1,1
60,43,3,3,0,0,0,0,1,1
39,139,3,1,483,1,0,0,1,0
60,135,3,3,0,1,0,0,1,0
59,84,3,3,0,0,0,0,1,0
50,179,1,3,0,1,0,0,0,1
27,109,2,1,0,0,0,0,1,0
47,190,4,3,305,1,0,0,0,0
40,69,4,1,0,0,0,0,1,0
40,84,1,3,0,0,0,0,1,0
55,172,1,2,0,1,0,0,0,0
32,51,4,1,154,0,1,0,0,1
46,183,1,2,0,1,0,1,1,1
63,101,2,3,294,1,0,0,1,0
40,129,1,3,0,1,0,0,1,0
65,184,1,3,176,1,0,1,1,1
59,68,2,3,128,0,1,0,1,0
65,154,2,2,0,1,1,1,1,1
59,61,1,3,0,0,0,0,0,0
60,154,1,2,0,1,1,1,1,0
54,48,1,1,0,0,0,0,1,0
58,80,2,3,0,0,0,0,0,1
65,160,4,1,237,1,0,0,1,0
35,141,2,2,0,1,0,0,0,0
38,39,2,1,174,0,0,0,1,0
59,60,1,2,0,0,0,0,1,1
52,178,3,3,147,1,0,0,1,0
52,91,1,2,0,1,0,1,1,1
30,191,2,2,0,1,0,0,1,0
44,175,2,1,0,0,0,0,1,1
54,28,4,3,0,0,0,0,1,1
43,64,4,3,221,1,0,0,1,0
40,155,4,3,0,1,0,1,1,1
38,58,4,3,153,0,1,0,0,0
62,155,1,1,0,0,0,0,0,0
33,105,1,1,0,0,0,0,1,0
59,102,4,2,115,1,0,0,1,0
55,19,4,3,121,0,1,0,0,1
41,114,4,1,0,1,0,0,0,1
34,65,1,1,227,1,0,0,1,0
29,122,4,1,0,1,0,0,0,1
39,12,2,3,0,0,0,0,0,0
43,170,4,1,318,1,0,1,1,1
61,184,4,2,342,1,0,1,1,1
57,124,1,2,0,1,0,0,1,0
39,72,2,1,0,0,0,0,1,0
56,192,1,3,0,1,0,1,1,0
66,11,3,3,0,0,1,0,0,1
31,180,1,1,0,0,0,0,0,0
36,138,1,3,86,1,0,0,1,0
55,111,2,3,0,1,0,0,0,1
66,105,1,3,0,0,1,1,1,1
60,52,4,2,0,0,1,0,1,0
48,84,4,2,0,1,1,1,1,0
46,82,3,2,0,0,0,0,1,1
53,154,4,3,0,1,0,0,0,0
61,153,1,2,0,1,1,1,0,1
31,93,2,2,0,1,0,0,1,0
30,193,3,3,0,1,0,0,1,0
32,125,1,1,0,0,0,0,1,1
58,152,4,3,0,1,0,0,0,0
56,89,4,2,90,0,1,0,1,0
35,68,4,3,0,0,0,0,0,0
62,158,2,3,0,1,0,0,1,0
48,182,4,3,0,1,0,0,1,0
40,175,2,1,0,0,0,0,1,0
33,139,1,3,106,1,0,1,1,1
38,64,1,3,0,0,0,0,0,1
63,84,4,2,0,0,0,0,0,0
51,190,2,2,0,1,0,0,1,0
48,173,3,1,0,1,0,1,1,1
29,81,2,1,0,0,0,0,0,1
37,139,2,2,421,1,0,0,1,0
57,114,4,1,0,1,1,1,1,0
55,33,2,3,0,0,0,0,0,0
27,201,1,1,158,0,0,0,1,0
51,155,2,1,107,0,0,0,0,1
50,25,4,3,0,0,0,0,1,0
43,125,3,1,0,1,0,0,1,0
57,131,2,1,394,0,0,0,0,1
33,155,1,3,0,1,0,0,0,0
43,128,4,1,84,1,0,0,0,0
62,9,1,1,94,0,0,0,0,0
54,119,3,1,0,1,1,1,0,0
44,171,4,1,567,1,0,1,1,1
35,113,3,3,0,1,0,0,1,0
56,98,3,3,0,1,0,0,0,0
49,70,1,1,0,0,0,0,0,1
44,185,3,1,0,1,0,0,1,0
57,45,3,1,181,0,1,1,1,1
40,64,4,1,0,0,1,0,1,0
35,79,4,3,0,0,1,0,1,0
43,128,1,1,0,0,0,0,1,0
48,112,1,2,86,1,1,1,1,0
49,194,4,2,0,1,0,0,0,1
56,161,1,3,0,1,1,0,0,0
54,79,4,2,0,0,1,0,1,0
34,178,1,3,0,1,0,0,0,0
55,23,4,3,88,0,0,0,0,0
25,52,3,3,159,0,0,0,0,0
32,54,4,3,167,0,0,0,0,0
65,30,3,2,0,0,0,0,1,1
30,179,3,1,142,1,0,0,1,0
62,161,1,1,0,0,1,1,1,1
63,110,1,3,0,1,0,0,0,0
56,125,3,1,342,1,0,1,1,1
57,163,1,1,0,0,0,0,1,0
31,81,2,2,0,0,0,1,1,1
56,111,4,1,372,1,1,1,1,0
42,50,4,2,0,0,0,0,0,0
55,55,3,1,0,0,0,0,0,1
42,191,3,2,0,1,1,1,1,0
57,134,4,1,198,1,0,0,1,0
57,64,3,3,0,0,0,0,1,0
39,118,2,3,246,1,0,1,1,1
43,81,1,1,218,0,0,0,1,0
30,41,1,2,0,0,0,0,1,0
34,191,1,3,0,1,0,1,1,1
51,181,1,3,589,1,1,1,1,0
49,39,4,1,0,0,0,0,0,0
52,39,3,2,83,0,0,1,1,1
43,32,3,2,0,0,0,0,1,0
54,49,1,3,0,0,0,0,1,0
56,103,3,3,0,1,0,0,0,0
44,128,2,2,0,1,0,0,0,1
30,142,3,1,359,1,0,0,0,0
47,170,2,2,0,1,0,1,1,1
49,169,3,3,167,1,0,1,0,1
63,160,2,1,0,0,0,0,1,1
46,103,4,3,0,1,0,0,1,0
55,55,1,1,151,0,0,0,1,0
36,113,4,1,0,1,0,0,0,0
35,52,2,2,0,0,0,0,0,1
45,180,3,2,535,1,0,0,0,0
43,161,3,2,0,1,0,1,1,1
63,134,3,2,0,1,0,0,0,1
63,159,4,2,111,1,0,0,0,0
34,160,4,3,0,1,0,0,0,1
36,44,4,2,101,0,1,0,1,0
51,188,2,2,343,1,0,0,1,0
47,174,4,3,0,1,0,0,0,0
35,203,1,3,0,1,0,0,0,0
47,178,1,3,0,1,0,0,0,0
57,25,2,1,0,0,0,0,1,0
31,125,2,1,0,0,0,0,1,1
55,64,3,1,119,0,0,0,0,1
55,74,3,1,0,0,0,0,0,1
39,41,1,2,176,0,0,0,1,0
50,115,1,3,0,1,0,0,0,1
33,168,3,2,0,1,1,1,1,0
32,45,1,2,0,0,0,0,0,0
50,83,4,1,0,1,0,0,0,1
61,99,1,3,255,1,0,0,0,1
34,34,1,1,164,0,0,0,0,0
37,158,2,2,0,1,0,1,1,1
40,22,2,3,0,0,0,0,0,0
62,183,2,3,0,1,0,0,0,0
54,40,2,3,0,0,0,0,0,0
34,123,1,2,0,1,0,0,1,0
51,33,4,1,83,0,0,0,1,0
51,189,4,2,0,1,0,0,1,0
38,180,1,3,158,1,0,0,1,0
28,193,3,2,0,1,0,0,1,0
64,89,1,1,0,0,0,0,0,0
48,162,4,2,446,1,0,1,1,0
36,183,1,3,0,1,0,1,1,1
59,140,2,1,262,0,0,0,1,0
35,190,3,2,266,1,0,0,0,0
30,150,4,2,0,1,0,0,1,0
55,131,2,2,0,1,0,0,0,1
38,168,2,3,0,1,0,0,0,0
27,105,1,2,0,1,1,0,0,0
29,172,4,1,0,1,0,0,0,0
48,114,1,3,0,1,0,0,1,0
57,170,2,2,0,1,0,0,0,0
27,170,3,1,0,1,0,0,1,0
52,182,2,2,0,1,0,0,1,0
31,129,3,3,319,1,1,1,0,1
60,23,1,2,112,0,0,0,1,0
27,130,3,1,192,1,0,0,1,0
45,69,4,1,0,0,0,0,0,0
43,201,1,2,0,1,0,0,0,1
56,72,3,2,0,0,0,0,0,0
58,55,1,1,168,0,0,0,1,1
65,89,1,1,299,1,0,1,1,0
51,85,4,1,0,0,0,0,1,1
56,74,3,3,0,0,0,0,1,1
31,184,4,2,0,1,0,1,1,1
36,123,2,2,0,1,0,1,1,1
36,109,3,3,0,1,1,1,1,0
39,61,2,2,90,0,0,0,1,0
33,184,2,2,0,1,0,0,0,0
46,185,4,2,428,1,0,0,0,1
43,125,4,2,0,1,0,0,0,0
39,138,1,2,0,1,0,0,1,0
61,169,2,3,106,1,0,1,1,1
48,23,3,2,95,0,0,0,0,0
38,140,4,1,0,1,0,0,0,0
39,100,1,2,0,0,0,0,1,0
38,89,4,2,0,0,0,0,0,0
29,34,4,2,0,0,0,0,1,0
39,108,4,2,301,1,0,0,0,1
33,58,4,2,0,0,0,0,1,1
37,123,1,2,0,1,1,1,1,0
38,93,1,1,267,0,0,0,1,0
64,38,2,1,186,0,0,0,1,1
28,161,4,3,422,1,0,1,1,1
60,38,3,2,0,0,0,0,1,1
34,164,4,3,0,1,0,0,1,0
54,39,2,1,0,0,0,0,0,1
30,69,1,2,0,0,0,0,1,0
60,32,3,2,165,0,0,0,1,0
58,25,2,1,123,0,0,0,1,0
62,119,2,1,0,0,0,0,0,0
40,179,1,3,0,1,0,0,1,0
28,129,1,1,0,0,0,0,0,1
52,168,3,3,118,1,0,0,1,0
58,178,2,2,0,1,0,0,1,0
51,92,4,1,0,1,0,1,1,1
41,25,2,2,91,0,1,0,0,0
61,50,4,2,0,0,0,0,0,1
27,43,3,2,0,0,0,0,0,0
54,111,1,2,0,1,0,0,1,0
51,104,1,2,0,1,0,0,1,0
32,98,1,1,171,1,1,1,0,0
34,171,2,2,569,1,0,0,1,0
58,90,1,2,0,1,0,0,0,0
25,39,3,2,0,0,0,0,1,0
28,82,3,1,103,0,0,0,1,0
31,180,1,3,144,1,1,0,0,0
58,142,2,1,0,0,0,0,0,1
60,30,4,1,118,0,0,0,1,1
45,164,1,1,0,0,0,0,0,1
59,114,3,2,0,1,0,0,1,0
47,149,4,1,0,1,0,0,0,1
46,152,1,3,374,1,0,1,1,1
48,161,4,3,310,1,0,0,0,0
33,39,3,1,0,0,0,0,0,0
52,161,4,1,0,1,0,1,1,1
46,73,2,1,216,0,0,0,1,0
33,78,3,2,0,0,0,0,1,0
52,110,2,3,204,1,1,1,1,0
35,160,4,3,0,1,1,0,0,0
42,111,3,1,0,1,1,1,0,1
53,59,2,3,0,0,0,0,1,0
40,28,2,3,0,0,0,0,0,0
45,191,3,3,123,1,0,0,0,0
61,155,1,1,0,0,0,0,1,0
43,51,1,3,0,0,0,0,0,0
66,145,1,1,0,0,0,0,1,0
54,154,1,2,352,1,0,0,1,0
32,100,3,2,0,0,0,0,1,0
30,131,3,3,0,1,0,0,0,0
30,101,2,1,0,0,0,0,1,0
63,148,2,3,0,1,0,0,1,0
40,104,1,1,249,0,0,0,0,0
61,119,2,2,0,1,0,0,1,0
37,22,3,2,114,0,0,0,0,0
35,131,3,3,0,1,0,1,1,1
46,158,3,1,432,1,0,0,0,1
58,173,2,3,0,1,0,0,1,0
56,43,2,1,0,0,1,0,0,0
57,159,2,1,0,0,0,0,0,0
43,42,1,3,0,0,0,0,1,0
54,48,2,3,142,0,0,0,1,0
39,89,2,1,0,0,0,0,1,0
32,82,1,2,240,0,0,1,1,1
54,195,2,2,477,1,0,0,0,0
54,28,4,2,101,0,0,0,1,0
33,183,2,3,582,1,0,0,1,0
55,130,4,1,0,1,0,0,0,1
63,185,2,2,358,1,0,0,1,0
59,168,4,2,0,1,0,0,1,0
36,115,4,2,0,1,0,0,0,0
34,31,4,3,85,0,1,1,1,1
52,154,1,3,0,1,1,1,1,0
37,182,3,3,0,1,0,0,1,0
27,129,2,1,0,0,1,0,0,0
42,185,3,2,0,1,1,1,1,1
53,183,3,3,467,1,0,1,1,1
37,21,3,2,0,0,0,0,1,0
45,133,4,3,0,1,0,1,1,1
30,181,3,2,0,1,0,1,1,1
37,190,4,2,565,1,0,1,1,0
44,21,1,1,0,0,0,0,1,0
54,183,1,1,0,0,0,0,1,1
49,79,4,3,212,0,0,0,1,0
36,172,4,2,295,1,0,0,1,0
34,184,3,1,0,1,0,0,0,0
35,188,1,3,282,1,0,0,1,0
65,113,4,3,0,0,0,0,1,0
48,35,1,1,0,0,1,0,1,0
49,114,1,3,0,1,0,0,1,0
45,122,4,2,0,1,0,0,1,0
57,113,4,3,327,1,0,0,1,0
50,58,1,2,0,0,0,0,1,0
59,63,1,1,0,0,0,0,1,1
27,140,1,2,175,1,1,1,1,0
56,190,3,1,0,1,0,1,1,0
46,102,3,3,0,1,0,0,1,0
44,130,4,2,0,1,0,0,0,0
28,142,1,1,0,0,0,0,1,0
41,78,4,1,99,0,0,0,1,0
33,145,1,1,437,0,0,0,1,0
26,132,2,3,0,1,0,0,0,1
62,195,4,3,522,1,0,1,1,1
61,53,3,2,0,0,0,0,1,0
29,41,1,3,0,0,0,0,1,1
32,84,3,2,0,0,0,0,1,1
44,162,4,1,301,1,0,0,0,0
54,121,2,3,0,1,1,0,0,0
55,153,2,2,0,1,1,1,1,0
50,179,1,1,0,0,0,0,1,0
42,103,1,1,0,1,1,1,1,1
57,80,4,2,0,0,0,0,0,0
40,164,1,2,0,1,0,0,0,0
33,81,3,1,0,0,0,0,1,1
62,148,3,2,0,1,0,0,1,0
62,169,3,2,184,1,0,1,1,1
53,50,4,3,152,0,0,0,1,0
43,130,2,3,221,1,0,0,0,1
50,31,1,3,0,0,0,0,0,0
27,158,3,2,0,1,0,1,1,0
34,141,2,3,0,1,0,0,0,1
28,33,3,1,167,0,0,0,1,0
45,134,4,2,0,1,0,1,1,1
64,168,4,3,0,1,0,0,1,0
32,74,4,2,257,0,0,0,0,1
54,51,2,3,0,0,0,0,0,0
39,31,1,3,88,0,0,0,1,1
26,85,2,3,0,0,0,0,0,0
26,129,3,2,0,1,0,0,0,0
61,19,1,3,0,0,0,0,1,0
43,179,3,1,0,1,1,1,1,0
42,65,3,3,256,0,0,0,1,0
57,131,3,1,0,1,0,0,1,0
34,175,4,3,0,1,1,1,1,1
34,114,3,3,0,1,0,0,0,0
47,124,4,3,0,1,0,0,0,0
40,83,1,3,0,0,0,0,0,0
27,99,1,3,149,1,0,0,0,1
41,158,1,2,0,1,1,1,0,1
34,55,4,2,147,0,0,0,0,1
61,49,4,2,185,0,0,0,0,0
42,173,2,2,373,1,0,1,1,1
61,59,1,2,0,0,0,0,0,0
65,94,4,1,120,1,0,1,1,1
60,39,2,3,0,0,0,0,1,0
48,24,4,1,0,0,0,0,1,0
47,81,4,3,0,0,0,0,1,1
43,111,4,3,0,1,0,0,1,0
50,179,4,2,0,1,0,0,1,0
52,93,4,2,0,1,0,0,0,1
55,159,1,3,0,1,0,0,0,0
56,29,4,2,87,0,0,0,1,0
56,140,4,1,292,1,0,0,0,0
42,141,3,2,0,1,0,0,0,0
63,132,1,2,0,1,0,0,1,0
39,78,1,3,0,0,0,0,0,0
46,105,4,1,0,1,0,0,0,0
60,153,3,3,0,1,0,0,0,1
53,174,1,2,0,1,0,0,1,0
42,164,1,3,0,1,1,1,1,1
35,132,1,1,82,0,0,0,0,1
34,32,4,3,0,0,0,0,1,0
27,141,4,3,354,1,0,0,0,0
62,125,1,3,0,1,0,0,1,0
61,18,3,3,0,0,0,0,0,0
42,39,1,3,0,0,0,0,1,0
49,93,1,1,0,0,0,0,1,1
49,115,3,3,0,1,0,0,0,0
51,53,1,2,0,0,0,0,1,0
45,163,3,2,0,1,0,1,0,1
28,182,3,2,442,1,0,1,1,1
46,170,2,1,0,0,0,0,0,0
35,83,4,3,315,0,0,0,1,0
25,44,4,2,0,0,0,0,0,1
46,135,3,1,213,1,0,0,1,0
35,142,4,3,0,1,0,0,0,0
55,94,1,3,221,0,0,0,0,0
54,82,3,2,0,1,0,0,1,0
29,113,2,2,84,0,0,0,1,1
36,9,4,3,0,0,0,0,1,0
66,114,1,3,0,0,0,0,1,1
64,32,2,1,0,0,0,0,1,1
43,80,3,1,0,0,0,1,1,1
64,18,2,3,0,0,1,1,1,1
60,128,1,1,0,0,0,0,1,0
57,135,3,2,0,1,1,1,1,0
47,132,1,1,0,0,0,0,1,0
46,125,2,3,0,1,0,0,1,0
26,88,2,2,0,0,0,0,0,0
61,172,4,1,0,1,0,1,1,1
63,149,2,3,364,1,0,0,1,0
54,120,4,2,431,1,0,0,1,0
34,131,2,1,156,0,0,0,1,1
31,133,1,3,0,1,0,0,0,0
36,154,3,1,0,1,1,0,0,0
30,182,4,3,94,1,0,0,1,0
46,15,4,3,0,0,1,0,1,0
33,125,1,3,0,1,0,0,1,0
30,95,1,3,146,1,0,0,0,1
59,13,4,2,0,0,0,0,0,0
45,144,4,1,210,1,0,0,1,0
30,118,4,3,0,1,0,0,1,0
45,109,3,1,0,0,0,0,0,0
37,72,4,3,0,0,1,0,0,0
46,54,4,1,189,0,0,0,1,1
30,31,3,2,142,0,0,0,0,0
32,169,1,3,272,1,1,1,1,0
53,139,1,3,0,1,0,0,0,0
42,153,3,1,416,1,0,0,0,0
60,165,3,1,0,1,0,0,0,1
29,128,2,2,209,1,0,0,1,0
33,20,1,3,0,0,0,0,0,0
